-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(2)         0.00%       0.000us         0.00%       0.000us       0.000us     466.705ms        62.06%     466.705ms      27.453ms            17  
                 execute_context_1(401)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     411.072ms        54.66%     411.072ms     411.072ms             1  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     284.521ms        37.83%     284.521ms     929.807us           306  
                    vllm::unified_attention_with_output         0.49%       6.119ms         0.57%       7.133ms     209.805us     261.193ms        34.73%     261.193ms       7.682ms            34  
ncclDevKernel_Generic_4(ncclDevKernelArgsStorage<409...         0.00%       0.000us         0.00%       0.000us       0.000us     212.041ms        28.20%     212.041ms      87.260us          2430  
void vllmfen::gptq_rdna3::gemm_q4_kernel_rdna3<__hip...         0.00%       0.000us         0.00%       0.000us       0.000us      92.545ms        12.31%      92.545ms      21.348us          4335  
void vllm::gptq_rdna3_wmma::gemm_q4_wmma_kernel_128x...         0.00%       0.000us         0.00%       0.000us       0.000us      51.234ms         6.81%      51.234ms     200.916us           255  
                                   hipStreamIsCapturing         0.06%     741.920us         0.06%     741.920us       0.759us      30.451ms         4.05%      30.451ms      31.136us           978  
                                 hipPointerGetAttribute         0.16%       2.021ms         0.16%       2.021ms       0.424us      16.622ms         2.21%      16.622ms       3.491us          4761  
                                  hipModuleLaunchKernel         0.33%       4.111ms         0.33%       4.111ms       5.445us      15.169ms         2.02%      15.169ms      20.091us           755  
                                      _rocm_C::wvSplitK         0.01%     150.030us         0.04%     484.840us      13.468us      12.537ms         1.67%      12.537ms     348.258us            36  
void vllmfen::gptq_rdna3::reduce_k_splits_rdna3<__hi...         0.00%       0.000us         0.00%       0.000us       0.000us      11.177ms         1.49%      11.177ms       2.578us          4335  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us      11.159ms         1.48%      11.159ms       4.494us          2483  
                                            aten::copy_         0.72%       9.081ms         1.50%      18.799ms       7.466us       8.402ms         1.12%       8.807ms       3.497us          2518  
void wvSplitK_hf_sml_<__hip_bfloat16, 32, 4, 16, 8, ...         0.00%       0.000us         0.00%       0.000us       0.000us       7.671ms         1.02%       7.671ms      90.242us            85  
void wvSplitK_hf_sml_<__hip_bfloat16, 32, 2, 16, 8, ...         0.00%       0.000us         0.00%       0.000us       0.000us       6.604ms         0.88%       6.604ms     347.561us            19  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.367ms         0.85%       6.367ms       3.287us          1937  
